ID_UNICO,area_OBS_1985,area_OBS_1986,area_OBS_1987,area_OBS_1988,area_OBS_1989,area_OBS_1990,area_OBS_1991,area_OBS_1992,area_OBS_1993,area_OBS_1994,area_OBS_1995,area_OBS_1996,area_OBS_1997,area_OBS_1998,area_OBS_1999,area_OBS_2000,area_OBS_2001,area_OBS_2002,area_OBS_2003,area_OBS_2004,area_OBS_2005,area_OBS_2006,area_OBS_2007,area_OBS_2008,area_OBS_2009,area_OBS_2010,area_OBS_2011,area_OBS_2012,area_OBS_2013,area_OBS_2014,area_OBS_2015,area_OBS_2016,area_OBS_2017,area_OBS_2018,area_OBS_2019,area_OBS_2020,area_OBS_2021,area_OBS_2022,area_OBS_2023,area_OBS_2024
1,0.0382,0.0786,0.0881,0.03,0.2128,0.153,0.0616,0.093,0.0782,0.2613,0.1291,0.2721,0.1784,0.2576,0.1631,0.1511,0.2039,0.1934,0.2534,0.2581,0.2122,0.1208,0.1418,0.2766,0.4723,0.3158,0.2696,0.6937,0.4578,0.1401,0.2478,0.2801,0.17,0.1479,0.2326,0.939,0.9751,0.8794,0.842,0.9866
2,0.0589,0.1996,0.1566,0.0552,0.0732,0.2571,0.0882,0.2218,0.1097,0.5526,0.3677,0.2585,0.2385,0.6072,0.4008,0.3692,0.654,0.3595,0.2636,0.5791,0.6067,0.1044,0.2888,0.4182,0.7116,0.4679,0.2166,0.7826,0.612,0.1163,0.5054,0.5545,0.2934,0.108,0.5102,0.92,0.9981,0.9316,0.4797,0.9966
3,0.0426,0.0526,0.0468,0.0391,0.0389,0.0373,0.0366,0.039,0.0421,0.0901,0.0457,0.0629,0.0528,0.073,0.0506,0.1219,0.1108,0.1169,0.1071,0.0911,0.0633,0.0536,0.0618,0.1024,0.0848,0.0714,0.0993,0.1567,0.1151,0.0864,0.0979,0.1122,0.0887,0.0727,0.0846,0.1767,0.4469,0.4314,0.4853,0.6599
4,0.1094,0.1035,0.1449,0.1777,0.1458,0.1697,0.1338,0.1478,0.1377,0.2175,0.1578,0.1891,0.2512,0.2714,0.2578,0.2915,0.2617,0.3207,0.3561,0.4026,0.3095,0.3055,0.3254,0.3572,0.3839,0.4066,0.4855,0.5091,0.5454,0.436,0.4482,0.4773,0.43,0.4245,0.4429,0.4381,0.503,0.6327,0.7136,0.6896
5,0.2677,0.328,0.4702,0.3091,0.3192,0.3424,0.2177,0.2475,0.1983,0.2395,0.1401,0.3353,0.3956,0.3145,0.3813,0.4414,0.314,0.4317,0.4787,0.6792,0.3976,0.4079,0.4991,0.518,0.5696,0.6284,0.6465,0.694,0.7134,0.6573,0.6319,0.6739,0.6523,0.6245,0.6231,0.6436,0.6895,0.7107,0.7347,0.7823
6,0.4926,0.5781,0.693,0.5389,0.6,0.5675,0.5127,0.5574,0.4985,0.6222,0.3875,0.6297,0.6046,0.61,0.6072,0.7222,0.6863,0.7428,0.7618,0.8087,0.7517,0.7495,0.7738,0.7866,0.7978,0.8052,0.8298,0.8455,0.8517,0.8422,0.8259,0.8444,0.8357,0.8202,0.8151,0.8293,0.8634,0.8504,0.9093,0.9478
7,0.4073,0.5638,0.659,0.5541,0.6778,0.5782,0.5789,0.6297,0.6042,0.8029,0.5497,0.8609,0.6772,0.85,0.8988,0.9595,0.9463,0.9283,0.9688,0.9663,0.9569,0.9352,0.9473,0.9559,0.9525,0.9622,0.9716,0.9767,0.9795,0.9761,0.9768,0.9787,0.9778,0.9756,0.9767,0.9799,0.9826,0.9615,0.9881,0.9971
8,0.4765,0.8389,0.8079,0.6272,0.7785,0.7088,0.6631,0.6833,0.7146,0.892,0.6551,0.9142,0.7278,0.9243,0.8284,0.9949,0.9967,0.9536,0.9831,0.9852,0.9916,0.9772,0.9912,0.9753,0.9894,0.9877,0.9863,0.9961,0.9917,0.9879,0.9826,0.9815,0.9961,0.9874,0.9864,0.9988,0.9944,0.9677,0.9896,0.9984
9,0.8794,0.9349,0.9153,0.9409,0.9542,0.9598,0.9625,0.9651,0.955,0.9785,0.8951,0.9762,0.9607,0.9879,0.9842,0.9935,0.9941,0.9929,0.9939,0.9881,0.9927,0.9873,0.9908,0.9871,0.9903,0.9886,0.9842,0.994,0.9963,0.9913,0.9937,0.9957,0.9962,0.996,0.9947,0.9963,0.9966,0.9524,0.9974,0.9964
10,0.7587,0.8117,0.7846,0.8034,0.8252,0.8461,0.8279,0.8525,0.8521,0.9164,0.7941,0.9369,0.9144,0.9748,0.964,0.9838,0.996,0.974,0.986,0.9803,0.9902,0.96,0.9662,0.9662,0.9594,0.9797,0.9665,0.9831,0.9597,0.9663,0.9725,0.9886,0.9923,0.9867,0.9888,0.9957,0.9981,0.995,0.994,0.9923
11,0.7868,0.9446,0.8914,0.8724,0.8425,0.9405,0.9007,0.9436,0.948,0.9503,0.8959,0.9407,0.9251,0.9366,0.9339,0.9301,0.9319,0.9267,0.9298,0.9344,0.9329,0.9273,0.9241,0.9224,0.9216,0.9223,0.9211,0.9296,0.9351,0.9367,0.9369,0.9378,0.9377,0.9377,0.9374,0.9335,0.9334,0.9321,0.9313,0.932
12,0.8182,0.9349,0.8886,0.8668,0.8893,0.9488,0.9551,0.9614,0.9559,0.968,0.9319,0.9575,0.9148,0.9653,0.9601,0.9621,0.9675,0.962,0.9662,0.9686,0.9693,0.9677,0.9666,0.9632,0.9585,0.9626,0.9507,0.9635,0.961,0.9641,0.9624,0.963,0.9645,0.9633,0.9653,0.9663,0.9666,0.9651,0.9644,0.9645
13,0.7584,0.9171,0.8923,0.8441,0.7882,0.9781,0.8864,0.9455,0.9428,0.9831,0.9554,0.977,0.9608,0.9722,0.9815,0.9819,0.983,0.9684,0.9822,0.9783,0.981,0.9769,0.9612,0.9676,0.9774,0.9785,0.9763,0.9786,0.9754,0.9683,0.959,0.967,0.9739,0.9338,0.9721,0.9717,0.9715,0.9701,0.9685,0.9706
14,0.6184,0.9244,0.804,0.7985,0.6742,0.9151,0.8731,0.9142,0.9494,0.9697,0.9161,0.892,0.8942,0.9604,0.9693,0.9637,0.972,0.9108,0.9707,0.9642,0.9726,0.9675,0.9697,0.969,0.9737,0.9736,0.9672,0.9748,0.9742,0.9593,0.9506,0.9736,0.9751,0.9474,0.9758,0.9764,0.9779,0.9783,0.978,0.9786
