year,delta_mean,delta_median,delta_sd,delta_p10,delta_p25,delta_p75,delta_p90,pct_negative,pct_positive,pct_near_zero
1985,-0.0002,0.0,0.0538,-0.0605,-0.0172,0.0146,0.0588,41.75,44.49,75.76
1986,-0.0,0.0,0.0543,-0.0601,-0.0166,0.015,0.0598,41.71,44.72,75.4
1987,-0.0001,0.0,0.0557,-0.0632,-0.0177,0.0154,0.0616,42.17,44.72,74.33
1988,-0.0,0.0,0.0568,-0.0656,-0.0186,0.0165,0.0641,42.04,45.34,73.36
1989,-0.0003,0.0,0.0579,-0.0673,-0.0198,0.0168,0.0655,42.47,45.15,72.55
1990,-0.0004,0.0,0.0583,-0.0677,-0.0207,0.0179,0.066,42.6,45.23,72.05
1991,-0.0006,0.0,0.059,-0.069,-0.0222,0.0183,0.0671,42.78,45.2,71.52
1992,-0.0009,0.0,0.0598,-0.071,-0.0233,0.0186,0.0681,43.03,45.22,70.87
1993,-0.0008,0.0,0.0609,-0.0737,-0.0242,0.0197,0.0709,43.0,45.45,70.3
1994,-0.0007,0.0,0.0617,-0.0741,-0.0248,0.0204,0.0729,43.27,45.43,69.49
1995,-0.0009,0.0,0.0631,-0.077,-0.0264,0.0222,0.0738,43.62,45.46,68.45
1996,-0.001,0.0,0.0645,-0.0771,-0.0279,0.0219,0.0749,44.05,45.25,67.84
1997,-0.001,0.0,0.0653,-0.0787,-0.0284,0.0227,0.077,44.18,45.29,67.52
1998,-0.001,0.0,0.0659,-0.0788,-0.0291,0.0239,0.0772,44.5,45.12,66.81
1999,-0.0011,0.0,0.0666,-0.0799,-0.0295,0.025,0.0779,44.75,45.02,65.92
2000,-0.001,0.0,0.0672,-0.0802,-0.0303,0.025,0.0797,44.54,44.37,65.38
2001,-0.0008,0.0,0.0676,-0.0807,-0.031,0.0255,0.0811,44.5,44.63,65.3
2002,-0.0009,0.0,0.0685,-0.0824,-0.0317,0.0265,0.0826,45.03,44.49,64.57
2003,-0.0008,0.0,0.069,-0.0827,-0.0332,0.0282,0.0832,44.88,45.09,64.07
2004,-0.001,0.0,0.0695,-0.0846,-0.034,0.0294,0.0841,45.56,44.98,63.01
2005,-0.001,0.0,0.0701,-0.0854,-0.035,0.0302,0.085,45.5,45.15,62.57
2006,-0.0012,0.0,0.0707,-0.0864,-0.036,0.03,0.0845,45.47,45.24,62.02
2007,-0.0013,0.0,0.0711,-0.0871,-0.0368,0.0305,0.0859,45.9,44.94,61.56
2008,-0.0015,0.0,0.0714,-0.0878,-0.0373,0.0312,0.0856,45.88,45.01,61.37
2009,-0.0015,0.0,0.0716,-0.0879,-0.0375,0.0314,0.0859,46.11,44.79,61.1
2010,-0.0015,0.0,0.0719,-0.0885,-0.0378,0.0314,0.0863,45.96,44.94,60.96
2011,-0.0017,0.0,0.0721,-0.089,-0.0382,0.0315,0.0859,46.06,44.69,60.67
2012,-0.0017,0.0,0.0726,-0.0887,-0.0381,0.0323,0.0867,46.05,44.61,60.44
2013,-0.0016,0.0,0.073,-0.0898,-0.0388,0.0325,0.0876,46.34,44.33,60.1
2014,-0.0015,0.0,0.0732,-0.0901,-0.0389,0.0328,0.0884,46.08,44.47,59.9
2015,-0.0017,0.0,0.0735,-0.0913,-0.0394,0.033,0.0885,46.27,44.21,59.73
2016,-0.0018,0.0,0.0737,-0.0924,-0.0391,0.0333,0.0885,46.35,44.3,59.55
2017,-0.0017,0.0,0.0739,-0.0917,-0.0395,0.0333,0.0886,46.37,44.46,59.64
2018,-0.0018,0.0,0.074,-0.0918,-0.0395,0.0337,0.089,46.5,44.5,59.88
2019,-0.0018,0.0,0.0744,-0.0932,-0.0401,0.0332,0.0895,46.57,44.71,59.44
2020,-0.0017,0.0,0.0746,-0.0931,-0.0401,0.0338,0.0906,46.55,45.03,59.13
2021,-0.0019,0.0,0.0747,-0.0934,-0.0411,0.0342,0.0909,46.77,45.22,58.94
2022,-0.0018,0.0,0.0752,-0.0934,-0.0406,0.0342,0.0912,47.1,45.59,58.99
2023,-0.0017,0.0,0.0756,-0.0942,-0.041,0.0353,0.0923,47.03,45.69,58.67
2024,-0.0015,0.0,0.0755,-0.0933,-0.0414,0.0358,0.0922,46.87,46.17,58.45
