ID_UNICO,eii_OBS_1985,eii_OBS_1986,eii_OBS_1987,eii_OBS_1988,eii_OBS_1989,eii_OBS_1990,eii_OBS_1991,eii_OBS_1992,eii_OBS_1993,eii_OBS_1994,eii_OBS_1995,eii_OBS_1996,eii_OBS_1997,eii_OBS_1998,eii_OBS_1999,eii_OBS_2000,eii_OBS_2001,eii_OBS_2002,eii_OBS_2003,eii_OBS_2004,eii_OBS_2005,eii_OBS_2006,eii_OBS_2007,eii_OBS_2008,eii_OBS_2009,eii_OBS_2010,eii_OBS_2011,eii_OBS_2012,eii_OBS_2013,eii_OBS_2014,eii_OBS_2015,eii_OBS_2016,eii_OBS_2017,eii_OBS_2018,eii_OBS_2019,eii_OBS_2020,eii_OBS_2021,eii_OBS_2022,eii_OBS_2023,eii_OBS_2024
1,0.1105,0.1927,0.2311,0.0857,0.27,0.2267,0.1405,0.1246,0.1233,0.403,0.2802,0.3942,0.3115,0.3844,0.2426,0.2223,0.2987,0.2616,0.2965,0.3646,0.2956,0.1662,0.2262,0.3787,0.5413,0.4666,0.338,0.6642,0.5762,0.1913,0.3783,0.3977,0.2196,0.1989,0.3257,0.8612,0.9213,0.8639,0.7561,0.943
2,0.0976,0.2266,0.2655,0.1042,0.1206,0.2822,0.1449,0.2509,0.1612,0.5371,0.3666,0.2818,0.2513,0.5239,0.3741,0.3401,0.5746,0.4523,0.3883,0.5724,0.5216,0.2151,0.3061,0.5415,0.6241,0.4973,0.3083,0.693,0.5093,0.1926,0.4872,0.5919,0.4077,0.1458,0.4748,0.8326,0.9943,0.8472,0.5362,0.9845
3,0.0411,0.0623,0.0694,0.0433,0.0437,0.0429,0.0384,0.0535,0.0552,0.1392,0.0747,0.0614,0.0473,0.0946,0.0539,0.1202,0.1852,0.2165,0.1688,0.1617,0.0862,0.0884,0.0994,0.1918,0.1776,0.133,0.1348,0.2634,0.1869,0.1361,0.1202,0.2156,0.1608,0.0901,0.1096,0.2908,0.5188,0.4627,0.4958,0.7357
4,0.129,0.148,0.1519,0.1608,0.1714,0.1652,0.1095,0.0963,0.0919,0.1639,0.1175,0.1303,0.186,0.2319,0.2076,0.2681,0.2363,0.4103,0.4165,0.4214,0.2699,0.2796,0.3379,0.3807,0.3746,0.4488,0.5009,0.5539,0.5958,0.5345,0.511,0.5433,0.5013,0.4589,0.4912,0.4938,0.5596,0.682,0.8193,0.7266
5,0.2902,0.3255,0.4214,0.2836,0.3481,0.3352,0.227,0.2469,0.1846,0.2593,0.1758,0.3127,0.3123,0.3039,0.3255,0.3785,0.3224,0.4046,0.5163,0.6405,0.4426,0.4567,0.4912,0.5146,0.5362,0.6219,0.5989,0.6396,0.6837,0.6462,0.6277,0.6762,0.6285,0.6144,0.6175,0.6321,0.6581,0.6564,0.716,0.7606
6,0.3634,0.4724,0.5545,0.4874,0.5687,0.5347,0.4225,0.4706,0.3691,0.483,0.2861,0.4852,0.4737,0.4464,0.4534,0.6313,0.5285,0.6212,0.6636,0.7307,0.6442,0.6159,0.6733,0.6962,0.7042,0.7064,0.7426,0.7642,0.7603,0.7563,0.7227,0.7461,0.7369,0.7139,0.6998,0.7099,0.7828,0.8503,0.894,0.9453
7,0.3662,0.5203,0.5888,0.5605,0.7253,0.5963,0.5398,0.5583,0.5459,0.7889,0.4739,0.8167,0.6246,0.7765,0.7814,0.9201,0.8993,0.8825,0.9236,0.9117,0.9337,0.8922,0.9099,0.9125,0.9095,0.9205,0.9333,0.9523,0.9563,0.9523,0.9549,0.9523,0.9585,0.9488,0.9572,0.9594,0.9708,0.9148,0.9788,0.9987
8,0.4523,0.7679,0.7595,0.6011,0.7357,0.6584,0.6231,0.6368,0.6765,0.8791,0.6372,0.8694,0.6924,0.9334,0.861,0.9921,1.0,0.91,0.9117,0.9528,0.9828,0.8848,0.9634,0.8901,0.9391,0.9263,0.925,0.9881,0.9691,0.9519,0.9351,0.9656,0.9854,0.9117,0.9254,1.0,0.9982,0.9801,0.9947,1.0
9,0.8583,0.9143,0.9099,0.9329,0.9607,0.9219,0.9558,0.9148,0.9342,0.9876,0.9082,0.9558,0.9289,0.9687,0.966,0.9925,0.9925,0.9894,0.9925,0.9841,0.9766,0.9576,0.9907,0.9541,0.9634,0.9585,0.9514,0.9748,0.9885,0.9837,0.9784,0.9828,0.9823,0.9792,0.9563,0.9885,0.9872,0.9726,0.9885,0.9912
10,0.7203,0.7728,0.7327,0.7543,0.7667,0.8059,0.7697,0.8139,0.7834,0.9082,0.7891,0.9162,0.8822,0.9815,0.9281,0.9731,0.9987,0.9559,0.9727,0.9577,0.9974,0.9307,0.9135,0.9281,0.9312,0.9674,0.9554,0.9431,0.9369,0.9462,0.9413,0.9907,0.9951,0.9815,0.9903,1.0,0.9982,0.9934,0.9947,0.9987
