ID_UNICO,px_tot_OBS_1985,px_val1_OBS_1985,prop1_OBS_1985,px_tot_OBS_1990,px_val1_OBS_1990,prop1_OBS_1990,px_tot_OBS_1995,px_val1_OBS_1995,prop1_OBS_1995,px_tot_OBS_2000,px_val1_OBS_2000,prop1_OBS_2000,px_tot_OBS_2005,px_val1_OBS_2005,prop1_OBS_2005,px_tot_OBS_2010,px_val1_OBS_2010,prop1_OBS_2010,px_tot_OBS_2015,px_val1_OBS_2015,prop1_OBS_2015,px_tot_OBS_2020,px_val1_OBS_2020,prop1_OBS_2020
0,975,972,0.9969,975,972,0.9969,975,972,0.9969,975,972,0.9969,975,972,0.9969,975,972,0.9969,975,972,0.9969,975,972,0.9969
1,952,940,0.9874,952,940,0.9874,952,940,0.9874,952,940,0.9874,952,940,0.9874,952,940,0.9874,952,940,0.9874,952,940,0.9874
2,1611,1569,0.9739,1611,1569,0.9739,1611,1569,0.9739,1611,1569,0.9739,1611,1569,0.9739,1611,1569,0.9739,1611,1569,0.9739,1611,1569,0.9739
3,2325,2325,1.0,2325,2325,1.0,2325,2325,1.0,2325,2325,1.0,2325,2325,1.0,2325,2325,1.0,2325,2325,1.0,2325,2325,1.0
4,1498,1484,0.9907,1498,1484,0.9907,1498,1484,0.9907,1498,1484,0.9907,1498,1484,0.9907,1498,1484,0.9907,1498,1484,0.9907,1498,1484,0.9907
5,1299,1274,0.9808,1299,1271,0.9784,1299,1272,0.9792,1299,1283,0.9877,1299,1284,0.9885,1299,1284,0.9885,1299,1277,0.9831,1299,1282,0.9869
6,2263,2247,0.9929,2263,2246,0.9925,2263,2247,0.9929,2263,2250,0.9943,2263,2250,0.9943,2263,2250,0.9943,2263,2250,0.9943,2263,2250,0.9943
7,2601,2601,1.0,2601,2601,1.0,2601,2601,1.0,2601,2601,1.0,2601,2601,1.0,2601,2601,1.0,2601,2601,1.0,2601,2601,1.0
8,2191,2185,0.9973,2191,2183,0.9963,2191,2184,0.9968,2191,2185,0.9973,2191,2185,0.9973,2191,2185,0.9973,2191,2185,0.9973,2191,2185,0.9973
9,2747,2705,0.9847,2747,2715,0.9884,2747,2712,0.9873,2747,2700,0.9829,2747,2709,0.9862,2747,2705,0.9847,2747,2705,0.9847,2747,2708,0.9858
10,2736,2736,1.0,2736,2736,1.0,2736,2736,1.0,2736,2736,1.0,2736,2736,1.0,2736,2736,1.0,2736,2736,1.0,2736,2736,1.0
11,2438,2395,0.9824,2438,2395,0.9824,2438,2395,0.9824,2438,2395,0.9824,2438,2395,0.9824,2438,2395,0.9824,2438,2395,0.9824,2438,2395,0.9824
12,1391,1370,0.9849,1391,1370,0.9849,1391,1370,0.9849,1391,1370,0.9849,1391,1370,0.9849,1391,1370,0.9849,1391,1370,0.9849,1391,1370,0.9849
13,1670,1595,0.9551,1670,1577,0.9443,1670,1561,0.9347,1670,1593,0.9539,1670,1609,0.9635,1670,1622,0.9713,1670,1606,0.9617,1670,1614,0.9665
14,2736,2736,1.0,2736,2736,1.0,2736,2736,1.0,2736,2736,1.0,2736,2736,1.0,2736,2736,1.0,2736,2736,1.0,2736,2736,1.0
15,2736,2736,1.0,2736,2736,1.0,2736,2736,1.0,2736,2736,1.0,2736,2736,1.0,2736,2736,1.0,2736,2736,1.0,2736,2736,1.0
16,2736,2736,1.0,2736,2736,1.0,2736,2736,1.0,2736,2736,1.0,2736,2736,1.0,2736,2736,1.0,2736,2736,1.0,2736,2736,1.0
17,2736,2721,0.9945,2736,2736,1.0,2736,2711,0.9909,2736,2678,0.9788,2736,2674,0.9773,2736,2637,0.9638,2736,2645,0.9667,2736,2636,0.9635
18,2736,2694,0.9846,2736,2719,0.9938,2736,2693,0.9843,2736,2675,0.9777,2736,2678,0.9788,2736,2697,0.9857,2736,2684,0.981,2736,2670,0.9759
