year,moran_I,p_value,z_score,significant
1985,0.1123,0.01,22.14,True
1986,0.1144,0.01,23.04,True
1987,0.1133,0.01,20.25,True
1988,0.1221,0.01,19.56,True
1989,0.1224,0.01,21.96,True
1990,0.1248,0.01,22.31,True
1991,0.1336,0.01,24.57,True
1992,0.1076,0.01,19.22,True
1993,0.1266,0.01,22.38,True
1994,0.1355,0.01,25.58,True
1995,0.1318,0.01,25.04,True
1996,0.1281,0.01,23.02,True
1997,0.1171,0.01,22.35,True
1998,0.1145,0.01,21.1,True
1999,0.1287,0.01,24.93,True
2000,0.1259,0.01,25.26,True
2001,0.1287,0.01,22.9,True
2002,0.1121,0.01,17.94,True
2003,0.1147,0.01,19.46,True
2004,0.1123,0.01,23.18,True
2005,0.1169,0.01,21.78,True
2006,0.1031,0.01,18.81,True
2007,0.1058,0.01,21.87,True
2008,0.1127,0.01,20.77,True
2009,0.12,0.01,21.03,True
2010,0.1157,0.01,20.51,True
2011,0.1011,0.01,16.39,True
2012,0.0958,0.01,17.7,True
2013,0.0943,0.01,18.9,True
2014,0.0978,0.01,16.04,True
2015,0.0953,0.01,16.1,True
2016,0.1003,0.01,22.43,True
2017,0.1082,0.01,19.66,True
2018,0.1068,0.01,20.51,True
2019,0.102,0.01,16.46,True
2020,0.0984,0.01,19.46,True
2021,0.0936,0.01,16.38,True
2022,0.0981,0.01,17.42,True
2023,0.1023,0.01,17.91,True
2024,0.1015,0.01,20.5,True
