ID_UNICO,cp_year_lli,delta_lli,cp_year_area,delta_area,nB_lli_pen1.5,nB_lli_pen3.0,nB_lli_pen6.0,nB_area_pen3.0,lag_lli_minus_area,material_both
1,2019,0.5501,2019,0.6943,2,1,0,2,0,True
2,1993,0.2851,1993,0.3307,2,1,0,1,0,True
3,1999,0.1378,1999,0.0928,2,2,1,2,0,True
4,2001,0.3164,2001,0.2476,3,2,1,2,0,True
5,2002,0.2968,2008,0.2941,2,2,1,1,-6,True
6,2001,0.2451,2001,0.227,3,1,1,2,0,True
7,1999,0.298,1998,0.3027,2,1,1,1,1,True
8,1997,0.2377,1999,0.2175,2,1,1,1,-2,True
9,1997,0.0415,1997,0.0408,3,1,0,1,0,False
10,1995,0.1711,1997,0.1324,2,2,1,1,-2,True
11,1991,0.0192,1996,0.0156,2,2,0,1,-5,False
12,2003,-0.0014,1997,0.0328,3,2,0,1,6,False
13,2007,-0.0057,1993,0.0724,2,1,0,1,14,False
14,1997,0.0936,1997,0.0901,2,1,1,1,0,True
15,1997,0.118,1997,0.1129,2,1,0,1,0,True
16,2010,-0.0045,2005,-0.0009,3,1,0,2,5,False
17,1993,0.0276,2018,-0.0811,3,2,0,2,-25,False
18,2012,-0.1626,2012,-0.1784,3,2,1,2,0,True
19,2012,-0.2404,2011,-0.1973,3,2,2,2,1,True
20,1998,-0.0983,2001,-0.2112,3,3,1,1,-3,True
21,1994,-0.1336,2001,-0.1798,2,2,2,2,-7,True
22,1992,-0.1952,2001,-0.1547,4,3,1,2,-9,True
23,1997,-0.1243,1997,-0.1353,3,2,1,2,0,True
24,1998,-0.2236,2002,-0.2066,2,2,1,2,-4,True
25,1993,-0.0869,2001,-0.0759,3,2,2,2,-8,True
26,2013,-0.0033,2012,-0.0006,3,2,2,2,1,False
27,1999,-0.1907,1999,-0.097,2,2,1,1,0,True
28,1998,-0.1826,1998,-0.1063,3,2,1,2,0,True
29,2002,-0.1414,1994,-0.2377,3,2,1,1,8,True
30,1995,-0.1567,2000,-0.0918,5,3,1,2,-5,True
31,2011,-0.0227,1992,-0.2129,3,3,0,3,19,False
32,2002,-0.1468,2002,-0.1695,3,2,1,2,0,True
33,1996,-0.1717,1997,-0.1702,4,3,1,2,-1,True
34,2005,-0.2222,2005,-0.2268,2,1,1,2,0,True
35,2004,-0.124,1998,-0.1823,2,2,2,3,6,True
36,2000,-0.0925,2000,-0.2201,2,2,1,2,0,True
37,2002,-0.1739,2000,-0.153,3,2,1,2,2,True
38,1996,-0.0699,1999,-0.1379,5,2,1,1,-3,True
39,2001,-0.0457,2000,-0.0817,2,1,1,1,1,False
40,2001,-0.1067,2001,-0.0672,2,1,1,2,0,True
41,2005,-0.044,2003,-0.0242,4,3,1,1,2,False
42,2007,-0.082,2008,-0.0971,3,3,1,2,-1,True
43,2005,0.0211,2016,-0.0557,3,3,0,2,-11,False
44,2009,-0.1116,2001,-0.1251,4,3,1,2,8,True
45,2007,-0.1152,2008,-0.1306,4,3,1,2,-1,True
46,2001,-0.1279,1995,-0.2592,4,3,1,2,6,True
47,1993,-0.0586,1991,-0.0851,4,2,1,2,2,True
48,2006,-0.0519,1989,-0.0338,3,2,1,3,17,False
49,1991,-0.0509,2006,-0.039,5,1,0,2,-15,False
50,2015,0.0376,1992,-0.041,4,2,0,3,23,False
51,2008,0.0047,1993,-0.0807,3,2,1,1,15,False
52,1993,-0.1315,1993,-0.0507,3,2,1,1,0,True
53,1996,-0.066,1990,-0.027,3,2,1,4,6,False
54,1996,-0.1031,1994,-0.0666,4,2,1,2,2,True
55,1997,-0.0625,1998,-0.0393,5,1,1,2,-1,False
56,2008,-0.0554,1997,-0.0733,3,2,2,3,11,True
57,1999,-0.0894,2001,-0.038,3,1,1,2,-2,False
58,1999,-0.0378,2002,-0.0409,3,3,1,2,-3,False
59,1991,-0.0147,1999,-0.0025,4,2,0,2,-8,False
60,2003,-0.0233,2003,-0.0144,2,2,1,2,0,False
61,2003,-0.0265,2005,-0.0206,3,2,1,2,-2,False
62,1998,-0.0432,1994,-0.0299,3,2,1,2,4,False
63,1997,-0.0216,1998,-0.0241,3,2,1,2,-1,False
64,2011,-0.0355,1995,-0.0243,3,3,1,2,16,False
65,1998,-0.0504,1998,-0.0475,3,1,1,1,0,False
66,1999,-0.0705,2000,-0.0852,2,2,1,1,-1,True
67,2005,-0.0365,2005,-0.0896,4,3,1,2,0,False
68,1994,-0.0781,1997,-0.068,4,4,1,2,-3,True
69,1993,-0.0743,1993,-0.0534,5,3,0,2,0,True
70,2007,-0.053,2000,-0.0513,3,2,1,2,7,True
71,1995,-0.077,1995,-0.0545,3,2,2,2,0,True
72,1997,-0.0853,1997,-0.0612,4,2,1,1,0,True
73,2003,-0.0565,1997,-0.0913,3,2,1,2,6,True
74,1996,-0.0764,2001,-0.0754,3,3,1,2,-5,True
75,2001,-0.1039,2001,-0.0902,3,2,1,2,0,True
76,1999,-0.1484,1999,-0.129,4,2,1,2,0,True
77,1999,-0.1207,2000,-0.0883,3,2,1,2,-1,True
78,2001,-0.1507,2003,-0.1468,4,2,1,2,-2,True
79,1999,-0.1813,2000,-0.1358,3,2,1,2,-1,True
80,2003,-0.1482,2002,-0.1752,2,2,1,2,1,True
81,1996,-0.2862,1998,-0.2822,4,2,1,2,-2,True
82,1999,-0.2543,2004,-0.2149,3,2,1,2,-5,True
83,2002,-0.2225,2001,-0.3192,2,2,1,2,1,True
84,2003,-0.2135,2003,-0.2253,3,2,1,2,0,True
85,2003,-0.1595,2002,-0.2055,3,2,1,2,1,True
86,2004,-0.0858,2002,-0.133,2,1,1,1,2,True
87,2002,-0.0853,2003,-0.0513,3,2,1,2,-1,True
88,2002,-0.1753,2002,-0.1168,3,2,1,2,0,True
89,2002,-0.1224,2003,-0.2284,2,2,1,2,-1,True
90,2002,-0.1336,1995,-0.2069,3,2,1,1,7,True
91,1994,-0.1152,1995,-0.071,4,2,1,1,-1,True
92,1997,-0.2012,2001,-0.15,4,2,1,2,-4,True
93,1996,-0.1402,1994,-0.1121,4,1,1,1,2,True
94,1994,-0.0494,1995,-0.0209,3,1,1,2,-1,False
95,1999,-0.1035,2004,-0.119,2,2,1,1,-5,True
96,1999,-0.1001,2012,-0.0885,2,2,2,1,-13,True
97,2000,-0.1577,2008,-0.1379,2,2,1,2,-8,True
98,2001,-0.0926,2000,-0.0948,2,2,1,2,1,True
99,2006,-0.1274,2008,-0.1137,2,2,1,1,-2,True
100,2003,-0.0816,2000,-0.1254,4,3,1,1,3,True
101,1992,-0.0727,2009,-0.0357,4,3,1,2,-17,False
102,1998,-0.125,1999,-0.1291,3,1,1,2,-1,True
103,1996,-0.2421,2003,-0.1298,3,2,1,2,-7,True
104,2002,-0.129,2003,-0.1089,4,2,1,2,-1,True
105,2004,-0.0771,2008,-0.0647,4,2,1,1,-4,True
106,2000,-0.1414,2004,-0.1023,3,2,1,2,-4,True
107,2011,-0.1025,2006,-0.0838,4,1,1,2,5,True
108,2003,-0.1413,2002,-0.0811,2,2,1,1,1,True
109,2003,-0.1603,1993,-0.1566,2,2,1,3,10,True
110,2013,0.0173,2000,-0.054,4,2,1,2,13,False
111,2008,-0.0607,2002,-0.0134,2,2,1,2,6,False
112,2011,-0.0383,2009,-0.0631,2,2,2,1,2,False
113,2009,-0.0428,2009,-0.1168,4,2,1,2,0,False
114,2010,-0.0672,2010,-0.0464,4,1,1,1,0,False
115,2007,-0.0289,2011,-0.0232,4,3,0,3,-4,False
116,1993,0.3183,1993,0.3002,2,1,0,1,0,True
117,1993,0.2699,1993,0.3038,1,1,0,1,0,True
118,1993,0.4267,1993,0.5001,3,1,1,1,0,True
119,1999,0.3987,1999,0.4811,2,1,1,1,0,True
120,2002,0.2381,2002,0.3136,2,2,1,2,0,True
121,2001,0.2504,2001,0.1997,2,2,1,1,0,True
122,1999,0.3875,1999,0.4825,3,1,1,1,0,True
123,1997,0.2403,1997,0.2312,2,1,1,1,0,True
124,1997,0.1935,1997,0.2309,1,1,1,1,0,True
125,1997,0.1358,1997,0.0766,2,1,1,1,0,True
126,1995,0.0993,1995,0.0714,4,1,1,1,0,True
127,1997,0.0626,1995,0.0541,2,2,1,2,2,True
128,2007,0.0302,2005,0.0139,2,1,1,1,2,False
129,2012,-0.0253,2005,-0.0302,3,3,1,2,7,False
130,2000,0.0137,2003,0.0202,4,1,0,1,-3,False
131,2013,-0.0677,1999,-0.0779,4,3,1,2,14,True
132,2010,-0.1344,2010,-0.0911,2,2,1,1,0,True
133,1997,-0.1367,2009,-0.0869,3,2,2,2,-12,True
134,2001,-0.1389,2001,-0.0997,2,2,2,1,0,True
135,2005,-0.1656,2005,-0.1832,3,2,1,2,0,True
136,2001,-0.1124,2002,-0.1827,4,3,1,1,-1,True
137,2002,-0.2504,2001,-0.3511,2,2,1,2,1,True
138,2007,-0.1886,1997,-0.1996,3,2,1,2,10,True
139,2001,-0.1814,1998,-0.0833,3,2,1,1,3,True
140,1995,-0.2384,1995,-0.184,2,2,2,2,0,True
141,1995,-0.1478,1997,-0.0961,3,2,1,1,-2,True
142,1999,-0.1858,1998,-0.1707,3,2,1,2,1,True
143,2002,-0.061,2002,-0.0968,2,1,1,2,0,True
144,2002,-0.1007,2001,-0.088,3,2,1,3,1,True
145,2008,-0.0533,1999,-0.1188,5,2,2,2,9,True
146,2000,-0.0933,1999,-0.0723,2,2,1,2,1,True
147,2002,-0.1477,2000,-0.177,3,2,1,2,2,True
148,2002,-0.2823,2003,-0.1481,2,1,1,2,-1,True
149,2002,-0.2973,2000,-0.3092,2,2,1,2,2,True
150,1996,-0.1297,1995,-0.1338,6,2,1,2,1,True
151,1992,-0.0628,2001,-0.1422,4,3,0,2,-9,True
152,1993,-0.1136,1994,-0.1321,4,2,1,1,-1,True
153,1999,-0.0623,1999,-0.1192,3,3,2,2,0,True
154,2003,-0.0706,2000,-0.0591,3,1,1,1,3,True
155,2001,-0.1323,1999,-0.1366,3,1,1,3,2,True
156,2002,-0.1418,2001,-0.1233,3,2,1,2,1,True
157,1999,-0.1373,2000,-0.2399,5,3,1,2,-1,True
158,2015,-0.1171,1999,-0.1287,4,2,1,3,16,True
159,1999,-0.1965,2001,-0.1547,4,2,1,2,-2,True
160,2002,-0.1077,1998,-0.1261,4,2,1,3,4,True
161,2007,-0.1695,1998,-0.1825,2,2,2,3,9,True
162,1992,-0.1176,1993,-0.1447,4,2,1,2,-1,True
163,2003,0.0053,1994,-0.0605,5,3,0,2,9,False
164,1990,-0.0281,2003,-0.0327,5,2,0,2,-13,False
165,1994,-0.156,2003,-0.1214,4,2,1,2,-9,True
166,2003,-0.1035,1992,-0.073,4,2,1,2,11,True
167,2002,-0.113,2003,-0.1198,2,2,2,2,-1,True
168,1998,-0.1064,1996,-0.0435,5,1,1,1,2,False
169,1997,-0.1122,1997,-0.1773,4,2,1,2,0,True
170,1994,-0.081,1997,-0.0673,4,2,1,3,-3,True
171,2010,-0.0508,2000,-0.1099,4,3,1,2,10,True
172,2009,0.0133,1995,-0.0753,4,2,1,1,14,False
173,1997,-0.0612,2017,0.0214,5,2,1,3,-20,False
174,2012,0.0361,2011,0.0154,3,3,1,3,1,False
175,2009,0.0192,2009,0.0316,5,2,1,3,0,False
