metric,year,share_1986,share_year,change,composition_effect,rate_effect,composition_fraction
absdelta_gt_0.10,1987,0.084,0.0909,0.0069,0.0034,0.0035,0.4965
typeI_II,1987,0.0277,0.0284,0.0008,0.0017,-0.0009,2.1929
absdelta_gt_0.10,1988,0.084,0.0942,0.0102,0.0069,0.0033,0.6734
typeI_II,1988,0.0277,0.0319,0.0043,0.0037,0.0006,0.8612
absdelta_gt_0.10,1989,0.084,0.1002,0.0162,0.01,0.0062,0.6174
typeI_II,1989,0.0277,0.0338,0.0062,0.0054,0.0008,0.8714
absdelta_gt_0.10,1990,0.084,0.1015,0.0175,0.0121,0.0054,0.6924
typeI_II,1990,0.0277,0.0346,0.007,0.0069,0.0001,0.9898
absdelta_gt_0.10,1991,0.084,0.1047,0.0207,0.0145,0.0062,0.7011
typeI_II,1991,0.0277,0.0385,0.0109,0.0088,0.0021,0.806
absdelta_gt_0.10,1992,0.084,0.1084,0.0244,0.0177,0.0067,0.7245
typeI_II,1992,0.0277,0.0397,0.0121,0.0107,0.0014,0.8839
absdelta_gt_0.10,1993,0.084,0.112,0.028,0.0209,0.0071,0.7452
typeI_II,1993,0.0277,0.0423,0.0146,0.0131,0.0015,0.899
absdelta_gt_0.10,1994,0.084,0.1177,0.0337,0.0235,0.0101,0.6993
typeI_II,1994,0.0277,0.0443,0.0166,0.0155,0.0011,0.9308
absdelta_gt_0.10,1995,0.084,0.1242,0.0402,0.0272,0.013,0.6772
typeI_II,1995,0.0277,0.0483,0.0207,0.0183,0.0024,0.886
absdelta_gt_0.10,1996,0.084,0.1292,0.0452,0.0304,0.0148,0.6733
typeI_II,1996,0.0277,0.0505,0.0229,0.0206,0.0023,0.8988
absdelta_gt_0.10,1997,0.084,0.1326,0.0486,0.0334,0.0153,0.6862
typeI_II,1997,0.0277,0.0496,0.0219,0.0223,-0.0004,1.0167
absdelta_gt_0.10,1998,0.084,0.1329,0.0489,0.0354,0.0135,0.7243
typeI_II,1998,0.0277,0.0538,0.0262,0.0245,0.0017,0.9369
absdelta_gt_0.10,1999,0.084,0.1357,0.0517,0.0377,0.0139,0.7307
typeI_II,1999,0.0277,0.0565,0.0289,0.0262,0.0027,0.907
absdelta_gt_0.10,2000,0.084,0.1404,0.0564,0.0397,0.0167,0.7039
typeI_II,2000,0.0277,0.0584,0.0308,0.028,0.0028,0.908
absdelta_gt_0.10,2001,0.084,0.1416,0.0576,0.0413,0.0163,0.7172
typeI_II,2001,0.0277,0.0578,0.0302,0.0285,0.0016,0.9454
absdelta_gt_0.10,2002,0.084,0.1437,0.0597,0.043,0.0168,0.7196
typeI_II,2002,0.0277,0.0575,0.0298,0.0298,0.0,0.9987
absdelta_gt_0.10,2003,0.084,0.1478,0.0638,0.0475,0.0163,0.7439
typeI_II,2003,0.0277,0.0624,0.0348,0.0325,0.0023,0.9347
absdelta_gt_0.10,2004,0.084,0.1509,0.0669,0.0504,0.0165,0.7537
typeI_II,2004,0.0277,0.063,0.0354,0.0343,0.0011,0.9687
absdelta_gt_0.10,2005,0.084,0.1509,0.0669,0.0519,0.0149,0.7769
typeI_II,2005,0.0277,0.0647,0.037,0.0356,0.0014,0.9618
absdelta_gt_0.10,2006,0.084,0.1534,0.0694,0.0536,0.0158,0.7719
typeI_II,2006,0.0277,0.0655,0.0378,0.0367,0.0011,0.9706
absdelta_gt_0.10,2007,0.084,0.1552,0.0712,0.0545,0.0167,0.7649
typeI_II,2007,0.0277,0.0678,0.0402,0.038,0.0021,0.9468
absdelta_gt_0.10,2008,0.084,0.1549,0.0709,0.0548,0.0161,0.7727
typeI_II,2008,0.0277,0.0672,0.0396,0.039,0.0005,0.9868
absdelta_gt_0.10,2009,0.084,0.1563,0.0723,0.0555,0.0168,0.7675
typeI_II,2009,0.0277,0.068,0.0403,0.0396,0.0007,0.9826
absdelta_gt_0.10,2010,0.084,0.1588,0.0748,0.0563,0.0185,0.753
