bin,n,rate_absdelta_gt,rate_typeI_II,mean_delta,share_cells,year
0.0-0.1,13,0.1538,0.0,0.0318,0.0011,1986
0.1-0.2,78,0.1282,0.0,0.026,0.0068,1986
0.2-0.3,170,0.1529,0.0059,0.0314,0.0148,1986
0.3-0.4,283,0.2756,0.1307,0.0372,0.0246,1986
0.4-0.5,385,0.226,0.387,0.0289,0.0335,1986
0.5-0.6,485,0.2619,0.2206,0.0212,0.0422,1986
0.6-0.7,672,0.2247,0.0298,0.0136,0.0584,1986
0.7-0.8,997,0.2086,0.004,0.0035,0.0867,1986
0.8-0.9,1573,0.1113,0.0,-0.0059,0.1368,1986
0.9-1.0,6844,0.0149,0.0,-0.0063,0.5951,1986
0.0-0.1,14,0.1429,0.0,0.0338,0.0012,1987
0.1-0.2,87,0.1379,0.0,0.027,0.0076,1987
0.2-0.3,184,0.1902,0.0163,0.0399,0.016,1987
0.3-0.4,311,0.2669,0.1254,0.0347,0.027,1987
0.4-0.5,397,0.2242,0.3678,0.0254,0.0345,1987
0.5-0.6,535,0.2935,0.2112,0.0257,0.0465,1987
0.6-0.7,688,0.2355,0.032,0.009,0.0598,1987
0.7-0.8,1042,0.2102,0.0038,0.0022,0.0906,1987
0.8-0.9,1583,0.1105,0.0,-0.0068,0.1377,1987
0.9-1.0,6659,0.0167,0.0,-0.0065,0.579,1987
0.0-0.1,16,0.0625,0.0,0.0255,0.0014,1988
0.1-0.2,101,0.1485,0.0,0.0314,0.0088,1988
0.2-0.3,194,0.201,0.0103,0.0377,0.0169,1988
0.3-0.4,340,0.2618,0.1265,0.0355,0.0296,1988
0.4-0.5,427,0.2529,0.4028,0.0266,0.0371,1988
0.5-0.6,557,0.2657,0.2029,0.0205,0.0484,1988
0.6-0.7,742,0.2534,0.0445,0.0085,0.0645,1988
0.7-0.8,1059,0.2087,0.0038,0.0021,0.0921,1988
0.8-0.9,1602,0.1024,0.0,-0.0075,0.1393,1988
0.9-1.0,6462,0.017,0.0,-0.0066,0.5619,1988
0.0-0.1,14,0.0714,0.0,0.0226,0.0012,1989
0.1-0.2,103,0.1262,0.0,0.0264,0.009,1989
0.2-0.3,207,0.2126,0.0145,0.0406,0.018,1989
0.3-0.4,368,0.2527,0.106,0.0329,0.032,1989
0.4-0.5,449,0.2606,0.4031,0.0279,0.039,1989
0.5-0.6,587,0.2777,0.2198,0.0192,0.051,1989
0.6-0.7,763,0.2569,0.0419,0.0081,0.0663,1989
0.7-0.8,1097,0.2151,0.0046,0.0007,0.0954,1989
0.8-0.9,1618,0.1112,0.0,-0.0099,0.1407,1989
0.9-1.0,6294,0.0173,0.0,-0.0066,0.5473,1989
0.0-0.1,16,0.0625,0.0,0.0197,0.0014,1990
0.1-0.2,113,0.115,0.0,0.0263,0.0098,1990
0.2-0.3,223,0.1749,0.0045,0.0378,0.0194,1990
0.3-0.4,380,0.2632,0.1026,0.0324,0.033,1990
0.4-0.5,473,0.2537,0.3763,0.0253,0.0411,1990
0.5-0.6,615,0.2553,0.226,0.0184,0.0535,1990
0.6-0.7,789,0.256,0.0482,0.0064,0.0686,1990
0.7-0.8,1120,0.2125,0.0027,-0.0007,0.0974,1990
0.8-0.9,1588,0.119,0.0,-0.0089,0.1381,1990
0.9-1.0,6183,0.0175,0.0,-0.0067,0.5377,1990
0.0-0.1,19,0.1053,0.0,0.0292,0.0017,1991
0.1-0.2,125,0.104,0.0,0.0261,0.0109,1991
0.2-0.3,237,0.1646,0.0042,0.0349,0.0206,1991
0.3-0.4,392,0.2755,0.1046,0.0294,0.0341,1991
0.4-0.5,506,0.2609,0.4051,0.0263,0.044,1991
0.5-0.6,627,0.2536,0.2424,0.0153,0.0545,1991
0.6-0.7,833,0.2641,0.048,0.0074,0.0724,1991
0.7-0.8,1136,0.2069,0.0035,-0.0026,0.0988,1991
0.8-0.9,1563,0.1164,0.0,-0.0094,0.1359,1991
0.9-1.0,6062,0.0188,0.0,-0.0069,0.5271,1991
0.0-0.1,21,0.1429,0.0,0.0324,0.0018,1992
0.1-0.2,135,0.0963,0.0,0.0251,0.0117,1992
0.2-0.3,258,0.186,0.0155,0.0361,0.0224,1992
0.3-0.4,434,0.265,0.0968,0.0249,0.0377,1992
0.4-0.5,533,0.2683,0.3884,0.025,0.0463,1992
0.5-0.6,654,0.2645,0.2462,0.0142,0.0569,1992
0.6-0.7,868,0.2615,0.0449,0.0043,0.0755,1992
0.7-0.8,1159,0.201,0.0035,-0.0042,0.1008,1992
0.8-0.9,1530,0.1092,0.0,-0.0092,0.133,1992
0.9-1.0,5908,0.0212,0.0,-0.0071,0.5137,1992
0.0-0.1,23,0.1304,0.0,0.031,0.002,1993
0.1-0.2,155,0.1161,0.0,0.0259,0.0135,1993
0.2-0.3,286,0.1783,0.0175,0.0327,0.0249,1993
0.3-0.4,447,0.2707,0.0895,0.0257,0.0389,1993
0.4-0.5,575,0.2713,0.393,0.0255,0.05,1993
0.5-0.6,688,0.2471,0.2471,0.0124,0.0598,1993
0.6-0.7,929,0.2594,0.0441,0.0059,0.0808,1993
0.7-0.8,1140,0.2079,0.0035,-0.0084,0.0991,1993
0.8-0.9,1519,0.1132,0.0,-0.0087,0.1321,1993
0.9-1.0,5738,0.0207,0.0,-0.0071,0.499,1993
0.0-0.1,24,0.0833,0.0,0.0339,0.0021,1994
0.1-0.2,165,0.103,0.0,0.0256,0.0143,1994
0.2-0.3,330,0.2,0.0182,0.0337,0.0287,1994
0.3-0.4,475,0.2737,0.0758,0.0229,0.0413,1994
0.4-0.5,616,0.2727,0.4058,0.0256,0.0536,1994
0.5-0.6,726,0.2658,0.2438,0.0104,0.0631,1994
0.6-0.7,902,0.2694,0.0399,0.0035,0.0784,1994
0.7-0.8,1123,0.211,0.0036,-0.0075,0.0977,1994
0.8-0.9,1539,0.117,0.0,-0.0091,0.1338,1994
0.9-1.0,5600,0.0209,0.0,-0.007,0.487,1994
0.0-0.1,26,0.0769,0.0,0.0393,0.0023,1995
0.1-0.2,197,0.1066,0.0,0.0265,0.0171,1995
0.2-0.3,353,0.1983,0.0057,0.0318,0.0307,1995
0.3-0.4,504,0.2817,0.0893,0.0236,0.0438,1995
0.4-0.5,645,0.2651,0.3922,0.0248,0.0561,1995
0.5-0.6,790,0.2595,0.2519,0.0111,0.0687,1995
0.6-0.7,947,0.2619,0.0549,-0.0009,0.0823,1995
0.7-0.8,1115,0.2224,0.0045,-0.005,0.097,1995
0.8-0.9,1529,0.1328,0.0,-0.012,0.133,1995
0.9-1.0,5394,0.0219,0.0,-0.0074,0.469,1995
0.0-0.1,30,0.1,0.0,0.0375,0.0026,1996
0.1-0.2,212,0.0991,0.0,0.0252,0.0184,1996
0.2-0.3,386,0.2202,0.0078,0.0346,0.0336,1996
0.3-0.4,559,0.2826,0.0894,0.0211,0.0486,1996
0.4-0.5,680,0.2456,0.375,0.023,0.0591,1996
0.5-0.6,809,0.2719,0.2633,0.01,0.0703,1996
0.6-0.7,976,0.2777,0.0584,-0.0003,0.0849,1996
0.7-0.8,1095,0.2155,0.0027,-0.0089,0.0952,1996
0.8-0.9,1510,0.1371,0.0,-0.0108,0.1313,1996
0.9-1.0,5243,0.0225,0.0,-0.0078,0.4559,1996
0.0-0.1,33,0.0909,0.0,0.033,0.0029,1997
0.1-0.2,229,0.1179,0.0,0.0272,0.0199,1997
0.2-0.3,412,0.216,0.0146,0.0302,0.0358,1997
0.3-0.4,610,0.2803,0.0885,0.0257,0.053,1997
0.4-0.5,720,0.2333,0.3347,0.0187,0.0626,1997
0.5-0.6,836,0.2679,0.2536,0.0111,0.0727,1997
0.6-0.7,993,0.28,0.0534,-0.0037,0.0863,1997
0.7-0.8,1106,0.2233,0.0036,-0.0075,0.0962,1997
0.8-0.9,1447,0.1444,0.0,-0.0119,0.1258,1997
0.9-1.0,5114,0.0213,0.0,-0.008,0.4447,1997
0.0-0.1,37,0.0811,0.0,0.0347,0.0032,1998
0.1-0.2,267,0.1049,0.0,0.0263,0.0232,1998
0.2-0.3,447,0.2282,0.0179,0.0297,0.0389,1998
0.3-0.4,632,0.2579,0.0744,0.0249,0.055,1998
0.4-0.5,759,0.2516,0.357,0.0219,0.066,1998
0.5-0.6,844,0.2737,0.263,0.0088,0.0734,1998
0.6-0.7,1024,0.2705,0.0645,-0.0059,0.089,1998
0.7-0.8,1084,0.2177,0.0046,-0.0089,0.0943,1998
0.8-0.9,1400,0.135,0.0,-0.0122,0.1217,1998
0.9-1.0,5006,0.0216,0.0,-0.0079,0.4353,1998
0.0-0.1,41,0.0732,0.0,0.0364,0.0036,1999
0.1-0.2,306,0.1013,0.0,0.0247,0.0266,1999
0.2-0.3,480,0.2417,0.0167,0.0284,0.0417,1999
0.3-0.4,694,0.2392,0.0793,0.0253,0.0603,1999
0.4-0.5,769,0.251,0.3576,0.0193,0.0669,1999
0.5-0.6,866,0.2714,0.2748,0.0038,0.0753,1999
0.6-0.7,1019,0.2699,0.0667,-0.0037,0.0886,1999
0.7-0.8,1075,0.227,0.0056,-0.0091,0.0935,1999
0.8-0.9,1408,0.1307,0.0,-0.0128,0.1224,1999
0.9-1.0,4842,0.0233,0.0,-0.0082,0.421,1999
0.0-0.1,47,0.0638,0.0,0.0342,0.0041,2000
0.1-0.2,334,0.1108,0.0,0.0228,0.029,2000
0.2-0.3,501,0.2455,0.008,0.0295,0.0436,2000
0.3-0.4,719,0.2392,0.0821,0.0259,0.0625,2000
0.4-0.5,798,0.2556,0.3559,0.0157,0.0694,2000
0.5-0.6,899,0.2925,0.2836,0.0053,0.0782,2000
0.6-0.7,982,0.277,0.0642,-0.0029,0.0854,2000
0.7-0.8,1071,0.2325,0.0065,-0.0095,0.0931,2000
0.8-0.9,1371,0.132,0.0,-0.0136,0.1192,2000
0.9-1.0,4778,0.0232,0.0,-0.0084,0.4155,2000
0.0-0.1,59,0.0847,0.0,0.0322,0.0051,2001
0.1-0.2,349,0.1203,0.0,0.0249,0.0303,2001
0.2-0.3,539,0.2505,0.0056,0.0276,0.0469,2001
0.3-0.4,736,0.2514,0.087,0.0272,0.064,2001
0.4-0.5,811,0.2441,0.3502,0.0146,0.0705,2001
0.5-0.6,909,0.2794,0.2717,0.0076,0.079,2001
0.6-0.7,1003,0.2732,0.0598,-0.0044,0.0872,2001
0.7-0.8,1077,0.2312,0.0065,-0.0103,0.0937,2001
0.8-0.9,1316,0.1307,0.0,-0.0139,0.1144,2001
0.9-1.0,4701,0.0243,0.0,-0.0085,0.4088,2001
0.0-0.1,61,0.0656,0.0,0.0293,0.0053,2002
0.1-0.2,364,0.1236,0.0,0.0239,0.0317,2002
0.2-0.3,577,0.234,0.0035,0.0286,0.0502,2002
0.3-0.4,769,0.2445,0.0806,0.0269,0.0669,2002
0.4-0.5,834,0.2374,0.3333,0.0134,0.0725,2002
0.5-0.6,949,0.2845,0.2613,0.0075,0.0825,2002
0.6-0.7,999,0.2663,0.0641,-0.006,0.0869,2002
0.7-0.8,1075,0.2177,0.0065,-0.0087,0.0935,2002
0.8-0.9,1328,0.1416,0.0,-0.0144,0.1155,2002
0.9-1.0,4544,0.0275,0.0,-0.0093,0.3951,2002
0.0-0.1,65,0.0615,0.0,0.0281,0.0057,2003
0.1-0.2,392,0.1199,0.0,0.0238,0.0341,2003
0.2-0.3,615,0.2455,0.0049,0.0289,0.0535,2003
0.3-0.4,843,0.2527,0.083,0.0261,0.0733,2003
0.4-0.5,866,0.254,0.343,0.0139,0.0753,2003
0.5-0.6,955,0.2827,0.2859,0.0041,0.083,2003
0.6-0.7,1027,0.2561,0.0643,-0.005,0.0893,2003
0.7-0.8,1078,0.2226,0.0074,-0.0102,0.0937,2003
0.8-0.9,1317,0.142,0.0008,-0.0157,0.1145,2003
0.9-1.0,4342,0.0242,0.0,-0.0091,0.3776,2003
0.0-0.1,71,0.0704,0.0,0.0321,0.0062,2004
0.1-0.2,421,0.1188,0.0,0.0235,0.0366,2004
0.2-0.3,669,0.2511,0.0015,0.0296,0.0582,2004
0.3-0.4,860,0.2395,0.0837,0.0244,0.0748,2004
0.4-0.5,915,0.247,0.3235,0.0133,0.0796,2004
0.5-0.6,970,0.2804,0.2897,0.003,0.0843,2004
0.6-0.7,1060,0.2613,0.0642,-0.0046,0.0922,2004
0.7-0.8,1079,0.2215,0.0056,-0.0089,0.0938,2004
0.8-0.9,1314,0.1416,0.0008,-0.0191,0.1143,2004
0.9-1.0,4141,0.0256,0.0,-0.0097,0.3601,2004
0.0-0.1,79,0.0759,0.0,0.0296,0.0069,2005
0.1-0.2,427,0.1265,0.0,0.024,0.0371,2005
0.2-0.3,702,0.2393,0.0057,0.0299,0.061,2005
