year,r2_lli_on_area,r2_lli_on_area_and_nbr,coef_area,coef_nbr_area,corr_delta_contrast,r2_delta_on_contrast,moran_div_I,moran_div_p,moran_delta_I,moran_delta_p,moran_resid_delta_I,moran_resid_delta_p
1986,0.9223,0.942,0.6274,0.3855,0.5317,0.2827,0.1144,0.001,0.0373,0.001,0.168,0.001
1987,0.9221,0.942,0.6269,0.3859,0.5341,0.2853,,,,,,
1988,0.9228,0.9424,0.6286,0.3841,0.532,0.283,,,,,,
1989,0.9225,0.9421,0.628,0.3851,0.53,0.2809,,,,,,
1990,0.9242,0.9432,0.6314,0.3826,0.5255,0.2762,,,,,,
1991,0.9248,0.9434,0.6336,0.3809,0.5212,0.2716,,,,,,
1992,0.9262,0.9443,0.6373,0.3787,0.5161,0.2664,,,,,,
1993,0.9272,0.9448,0.6387,0.3764,0.513,0.2632,,,,,,
1994,0.9282,0.9455,0.6414,0.3738,0.5116,0.2617,,,,,,
1995,0.9283,0.945,0.6445,0.3693,0.5046,0.2546,,,,,,
1996,0.9282,0.9449,0.6421,0.3713,0.505,0.255,,,,,,
1997,0.929,0.9452,0.6461,0.3667,0.5016,0.2516,,,,,,
1998,0.9307,0.9467,0.6465,0.3666,0.5038,0.2538,,,,,,
1999,0.9317,0.9476,0.6471,0.3668,0.5041,0.2541,,,,,,
2000,0.9324,0.9481,0.6465,0.3666,0.504,0.254,,,,,,
2001,0.9333,0.9489,0.6461,0.3657,0.5072,0.2572,,,,,,
2002,0.9325,0.9482,0.646,0.3649,0.5068,0.2568,,,,,,
2003,0.9333,0.9487,0.6457,0.3646,0.5071,0.2572,,,,,,
2004,0.9334,0.9488,0.6468,0.3623,0.508,0.2581,0.1123,0.001,0.0602,0.001,0.1761,0.001
2005,0.9332,0.9485,0.6485,0.3609,0.5052,0.2552,,,,,,
2006,0.9325,0.9481,0.6466,0.3629,0.5075,0.2576,,,,,,
2007,0.9324,0.9481,0.6452,0.3649,0.5095,0.2596,,,,,,
2008,0.9326,0.9485,0.6445,0.3662,0.5125,0.2626,,,,,,
2009,0.9325,0.9486,0.6442,0.3667,0.514,0.2642,,,,,,
2010,0.9322,0.9483,0.6446,0.3663,0.5138,0.264,,,,,,
2011,0.9319,0.948,0.6446,0.3664,0.5138,0.264,,,,,,
2012,0.9313,0.9478,0.6434,0.3683,0.5156,0.2659,,,,,,
2013,0.9307,0.9474,0.6424,0.3694,0.5176,0.2679,,,,,,
2014,0.9303,0.9471,0.6422,0.3696,0.5183,0.2686,,,,,,
2015,0.9301,0.9469,0.6443,0.3677,0.5165,0.2668,,,,,,
2016,0.9299,0.9467,0.6438,0.3686,0.5163,0.2666,,,,,,
2017,0.9297,0.9466,0.6429,0.3696,0.517,0.2673,,,,,,
2018,0.9293,0.9464,0.6424,0.3708,0.5172,0.2675,,,,,,
2019,0.9286,0.9459,0.6423,0.3716,0.518,0.2683,,,,,,
2020,0.9285,0.9458,0.6438,0.3708,0.5166,0.2669,,,,,,
2021,0.9284,0.9456,0.6459,0.3689,0.5145,0.2647,,,,,,
2022,0.9281,0.9452,0.645,0.3693,0.5137,0.2638,,,,,,
2023,0.9282,0.9454,0.6451,0.3697,0.5136,0.2637,0.1023,0.001,0.0397,0.001,0.1536,0.001
