ID_UNICO,area,w_px,valid_frac_interior,valid_frac_perimeter,w_len_seg0,w_px_seg0,w_len_seg1,w_px_seg1,w_len_seg2,w_px_seg2,w_len_seg3,w_px_seg3,w_len_seg4,w_px_seg4,w_len_seg5,w_px_seg5,w_len,w_px_segmean,w_len_segmean,w_ring
1,0.07858,0.19266,1.0,1.0,0.0,0.0,0.1208,0.11656,0.53276,0.53563,0.23989,0.23573,0.06496,0.06769,0.15897,0.15725,0.18623,0.18548,0.18623,0.02498
2,0.19963,0.22659,1.0,1.0,0.01709,0.01733,0.0,0.0,0.15897,0.15725,0.63362,0.63772,0.56581,0.56308,0.01311,0.00985,0.23143,0.23087,0.23143,0.23309
3,0.05255,0.06231,1.0,1.0,0.18575,0.18905,0.03704,0.04,0.0,0.0,0.01709,0.01733,0.07578,0.07385,0.05128,0.05405,0.06116,0.06238,0.06116,0.06801
4,0.10352,0.14797,1.0,1.0,0.15613,0.14179,0.0,0.0,0.05128,0.05405,0.25755,0.26055,0.01197,0.01231,0.35954,0.36207,0.13941,0.13846,0.13941,0.07447
5,0.32801,0.32553,1.0,1.0,0.45071,0.44527,0.38291,0.3792,0.31453,0.31204,0.15613,0.14179,0.21766,0.21538,0.43989,0.44226,0.32697,0.32266,0.32697,0.35211
6,0.57812,0.47241,1.0,1.0,0.41652,0.42289,0.45185,0.45566,0.43989,0.44226,0.55954,0.56576,0.7151,0.71472,0.27806,0.27518,0.47683,0.47941,0.47683,0.5132
7,0.56378,0.52032,1.0,1.0,0.99601,0.99254,0.60513,0.60736,0.28661,0.2801,0.41652,0.42289,0.19829,0.20552,0.57949,0.57494,0.51368,0.51389,0.51368,0.5644
8,0.83889,0.76787,1.0,1.0,0.87692,0.87841,1.0,1.0,0.57949,0.57494,0.54416,0.55721,0.87977,0.88073,0.78063,0.78378,0.77683,0.77918,0.77683,0.91033
9,0.93493,0.91435,1.0,1.0,1.0,1.0,1.0,1.0,0.9641,0.96314,0.87692,0.87841,0.70712,0.71166,0.91054,0.91155,0.90978,0.91079,0.90978,0.91774
10,0.81168,0.77283,1.0,1.0,0.98689,0.98511,1.0,1.0,0.91054,0.91155,0.53105,0.53598,0.35043,0.34557,0.81538,0.81863,0.76572,0.76614,0.76572,0.88469
11,0.94459,0.97266,1.0,1.0,0.9584,0.9601,0.9943,0.9939,0.97094,0.97052,0.98689,0.98511,0.95271,0.95107,0.97721,0.97549,0.97341,0.9727,0.97341,0.89903
12,0.93491,0.90035,1.0,1.0,0.86838,0.86567,0.88889,0.8872,0.97721,0.97549,0.73846,0.74129,0.93162,0.93272,1.0,1.0,0.90076,0.9004,0.90076,0.95583
13,0.91709,0.8885,1.0,1.0,0.87293,0.87811,0.94359,0.94512,0.86724,0.86797,0.86838,0.86567,0.85242,0.85627,0.91795,0.92157,0.88708,0.88912,0.88708,0.91176
14,0.92441,0.90785,1.0,1.0,0.83875,0.8404,0.73675,0.73171,0.91795,0.92157,1.0,1.0,1.0,1.0,0.93846,0.93627,0.90532,0.90499,0.90532,0.91328
15,0.83792,0.84877,1.0,1.0,0.66895,0.66584,0.83989,0.83841,0.77607,0.77696,0.83875,0.8404,0.99088,0.99085,1.0,1.0,0.85242,0.85208,0.85242,0.86161
16,0.99561,0.99868,1.0,1.0,0.99145,0.9925,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99858,0.99875,0.99858,0.99839
17,0.96817,0.95286,1.0,1.0,0.92764,0.92519,0.84103,0.84195,0.94644,0.94363,0.99145,0.9925,1.0,1.0,1.0,1.0,0.95109,0.95054,0.95109,0.95222
18,0.92975,0.9696,1.0,1.0,0.97949,0.98005,1.0,1.0,1.0,1.0,0.97436,0.97257,0.93789,0.93921,0.92764,0.92665,0.9699,0.96975,0.9699,0.89115
19,0.95592,0.97402,1.0,1.0,0.9567,0.9602,0.9812,0.98176,1.0,1.0,0.97949,0.98005,0.95954,0.96049,0.96695,0.96078,0.97398,0.97388,0.97398,0.96676
20,0.98005,0.91138,1.0,1.0,0.71054,0.705,0.93105,0.93313,0.96695,0.96078,0.96752,0.96,1.0,1.0,0.93276,0.92892,0.91814,0.91464,0.91814,0.9944
21,0.9391,0.90529,1.0,1.0,0.94473,0.94264,0.98746,0.98784,0.98689,0.98775,0.71054,0.705,0.80912,0.81155,0.99145,0.99267,0.90503,0.90457,0.90503,0.93541
22,0.90549,0.85249,1.0,1.0,0.95328,0.95489,0.98746,0.98788,0.99145,0.99267,0.39202,0.399,0.8963,0.89697,0.92251,0.91443,0.85717,0.85764,0.85717,0.90331
23,0.95733,0.95687,1.0,1.0,0.99316,0.9925,1.0,1.0,0.95726,0.95854,0.95328,0.95489,0.9339,0.9303,0.90826,0.90954,0.95764,0.95763,0.95764,0.95783
24,0.95735,0.94459,1.0,1.0,0.99601,0.9925,0.99145,0.99094,0.90826,0.90954,0.90028,0.90274,0.96809,0.96667,0.9208,0.91932,0.94748,0.94695,0.94748,0.95859
25,0.74744,0.60695,1.0,1.0,0.01368,0.01504,0.62165,0.61818,0.97208,0.97561,0.99601,0.9925,0.81311,0.81212,0.26268,0.26406,0.6132,0.61292,0.6132,0.79407
26,0.22715,0.26033,1.0,1.0,0.25641,0.2575,0.08148,0.08133,0.26268,0.26406,0.30028,0.31172,0.24501,0.24316,0.37436,0.37164,0.25337,0.2549,0.25337,0.18873
27,0.3113,0.32673,1.0,1.0,0.05812,0.05736,0.20171,0.20303,0.01652,0.01716,0.25641,0.2575,1.0,1.0,0.52536,0.52323,0.34302,0.34305,0.34302,0.3068
28,0.51583,0.53322,1.0,1.0,0.69801,0.695,0.5812,0.58308,0.52536,0.52323,0.43647,0.435,0.34701,0.34441,0.58803,0.58924,0.52934,0.52833,0.52934,0.59413
29,0.62699,0.56445,1.0,1.0,0.79202,0.79,0.00969,0.01208,0.32707,0.32763,0.69801,0.695,0.69687,0.70303,0.78348,0.78293,0.55119,0.55178,0.55119,0.69177
30,0.71098,0.6378,1.0,1.0,0.62849,0.62814,0.78917,0.78916,0.78348,0.78293,0.79145,0.7975,0.58519,0.58434,0.2735,0.26829,0.64188,0.64173,0.64188,0.66964
31,0.63337,0.73243,1.0,1.0,0.6245,0.62155,0.83647,0.84384,0.87521,0.87561,0.62849,0.62814,0.50199,0.50602,0.89231,0.89268,0.7265,0.72798,0.7265,0.6079
32,0.86916,0.82865,1.0,1.0,0.90313,0.9025,0.79316,0.79819,0.89231,0.89268,0.54986,0.54887,0.87066,0.86747,0.95328,0.95599,0.82707,0.82762,0.82707,0.92762
33,0.81085,0.84352,1.0,1.0,0.99316,0.99248,1.0,1.0,0.5094,0.50611,0.90313,0.9025,0.96239,0.96375,0.75613,0.75669,0.85404,0.85359,0.85404,0.76273
34,0.92569,0.95299,1.0,1.0,1.0,1.0,0.9812,0.98193,0.75613,0.75669,1.0,1.0,1.0,1.0,0.99715,0.99757,0.95575,0.95603,0.95575,0.96666
35,0.8061,0.76416,1.0,1.0,0.77607,0.76884,0.68433,0.68168,0.66781,0.67397,1.0,1.0,0.66154,0.66265,0.77094,0.77372,0.76011,0.76014,0.76011,0.85391
36,0.78963,0.71046,1.0,1.0,0.80969,0.80702,0.73105,0.73273,0.77094,0.77372,0.75385,0.74623,0.64843,0.65165,0.55613,0.54634,0.71168,0.70962,0.71168,0.80528
37,0.79259,0.75615,1.0,1.0,0.89573,0.89196,0.88775,0.88589,0.79715,0.79268,0.80969,0.80702,0.61709,0.62048,0.53333,0.53415,0.75679,0.75536,0.75679,0.83007
38,0.66821,0.53424,1.0,1.0,0.47066,0.46985,0.32251,0.31737,0.53333,0.53415,0.85926,0.85714,0.74701,0.74174,0.28319,0.28398,0.53599,0.53404,0.53599,0.71324
39,0.47213,0.49429,1.0,1.0,0.72137,0.72111,0.27407,0.27628,0.41538,0.42092,0.47066,0.46985,0.49003,0.48949,0.55328,0.54745,0.48746,0.48752,0.48746,0.43408
40,0.4107,0.55224,1.0,1.0,0.54245,0.54912,0.83647,0.83533,0.55328,0.54745,0.21083,0.21357,0.59145,0.59581,0.62678,0.62439,0.56021,0.56094,0.56021,0.29379
41,0.51935,0.50746,1.0,1.0,0.9584,0.9598,0.25527,0.25373,0.6,0.6,0.54245,0.54912,0.25128,0.2515,0.35442,0.35366,0.49364,0.49463,0.49364,0.51871
42,0.54562,0.50044,1.0,1.0,0.39145,0.39295,0.68718,0.68563,0.35442,0.35366,0.30712,0.31078,0.71966,0.72072,0.60456,0.60827,0.51073,0.512,0.51073,0.59498
43,0.58996,0.63169,1.0,1.0,0.66382,0.6608,0.62792,0.62575,0.45755,0.4561,0.39145,0.39295,0.89117,0.88657,0.80342,0.80244,0.63922,0.63743,0.63922,0.59574
44,0.8182,0.8367,1.0,1.0,0.93504,0.93687,0.69858,0.69254,0.80342,0.80244,0.65413,0.64824,0.96866,0.97006,0.96524,0.9635,0.83751,0.83561,0.83751,0.82342
45,0.73819,0.75746,1.0,1.0,0.7339,0.733,0.74131,0.75,0.67179,0.67397,0.93504,0.93687,0.57379,0.57612,0.8433,0.84672,0.74986,0.75278,0.74986,0.72027
46,0.8072,0.74836,1.0,1.0,0.66268,0.66751,0.60969,0.60896,0.8433,0.84672,0.63362,0.63728,0.89858,0.89286,0.82678,0.82524,0.74577,0.74643,0.74577,0.81212
47,0.59785,0.6864,1.0,1.0,0.48433,0.48492,0.53675,0.53293,0.77493,0.77427,0.66268,0.66751,0.86895,0.86866,0.78746,0.79126,0.68585,0.68659,0.68585,0.62889
48,0.40718,0.59202,1.0,1.0,0.54587,0.5466,0.61254,0.61493,0.78746,0.79126,0.83533,0.84383,0.64672,0.65075,0.13105,0.13107,0.59316,0.5964,0.59316,0.26805
49,0.48607,0.48904,1.0,1.0,0.34587,0.34761,0.73846,0.7403,0.32536,0.3301,0.54587,0.5466,0.65584,0.6597,0.39145,0.39078,0.50047,0.50251,0.50047,0.47464
50,0.53188,0.55079,1.0,1.0,0.43761,0.44697,0.65356,0.64985,0.39145,0.39078,0.37208,0.3728,0.49288,0.49702,0.94017,0.94417,0.54796,0.55027,0.54796,0.50133
51,0.59836,0.4759,1.0,1.0,0.37664,0.37374,0.23533,0.23512,0.26097,0.25243,0.43761,0.44697,0.82222,0.8244,0.73105,0.73544,0.4773,0.47802,0.4773,0.59109
52,0.76478,0.72723,1.0,1.0,0.73219,0.7298,0.5094,0.50742,0.73105,0.73544,0.88889,0.88636,0.90598,0.90476,0.59202,0.59806,0.72659,0.72697,0.72659,0.75437
53,0.42686,0.45622,1.0,1.0,0.24046,0.23737,0.0,0.0,0.36923,0.36983,0.73219,0.7298,0.66268,0.66766,0.69972,0.68765,0.45071,0.44872,0.45071,0.43503
54,0.56334,0.58713,1.0,1.0,0.54587,0.54937,0.20969,0.21365,0.69972,0.68765,0.68832,0.68861,0.4906,0.48521,0.81709,0.81311,0.57521,0.57293,0.57521,0.58283
55,0.29691,0.371,1.0,1.0,0.28718,0.29219,0.29972,0.29464,0.36809,0.37136,0.54587,0.54937,0.2792,0.2819,0.40798,0.41162,0.36467,0.36685,0.36467,0.31051
56,0.47016,0.37856,1.0,1.0,0.24387,0.24242,0.6,0.60534,0.40798,0.41162,0.37037,0.36869,0.55499,0.5549,0.15385,0.15254,0.38851,0.38925,0.38851,0.45013
57,0.2926,0.31305,1.0,1.0,0.2906,0.28861,0.35897,0.36095,0.49459,0.50243,0.24387,0.24242,0.27066,0.273,0.2114,0.21359,0.31168,0.3135,0.31168,0.35163
58,0.41995,0.39011,1.0,1.0,0.351,0.35354,0.12536,0.12722,0.2114,0.21359,0.63932,0.64557,0.74416,0.74777,0.28775,0.28883,0.39316,0.39609,0.39316,0.45184
59,0.17227,0.17498,1.0,1.0,0.14302,0.14177,0.13162,0.13274,0.12422,0.13075,0.351,0.35354,0.09288,0.09199,0.18632,0.18689,0.17151,0.17295,0.17151,0.15369
60,0.19043,0.18257,1.0,1.0,0.28091,0.28101,0.19259,0.19231,0.18632,0.18689,0.18575,0.18481,0.04046,0.04142,0.18917,0.18932,0.1792,0.17929,0.1792,0.20659
61,0.24678,0.30577,1.0,1.0,0.04274,0.04051,0.32934,0.33333,0.38917,0.38741,0.28091,0.28101,0.39202,0.38166,0.4188,0.41505,0.30883,0.30649,0.30883,0.25874
62,0.28291,0.30722,1.0,1.0,0.29402,0.2962,0.24387,0.24852,0.4188,0.41505,0.34074,0.34264,0.08718,0.09145,0.40114,0.40097,0.29763,0.29914,0.29763,0.23433
63,0.20995,0.20525,1.0,1.0,0.34473,0.3401,0.13846,0.14159,0.15556,0.15738,0.29402,0.2962,0.15783,0.15929,0.13105,0.13107,0.20361,0.20427,0.20361,0.21941
64,0.18283,0.28327,1.0,1.0,0.45299,0.46329,0.2359,0.23894,0.13105,0.13107,0.17721,0.17215,0.1943,0.19881,0.48091,0.47816,0.27873,0.2804,0.27873,0.1383
65,0.29965,0.33231,1.0,1.0,0.4,0.39848,0.16353,0.16224,0.38917,0.38889,0.45299,0.46329,0.25356,0.25369,0.2963,0.2954,0.32593,0.327,0.32593,0.31744
66,0.35057,0.28728,1.0,1.0,0.0849,0.08608,0.21311,0.20944,0.2963,0.2954,0.33561,0.33503,0.33789,0.34808,0.4433,0.44203,0.28519,0.28601,0.28519,0.31943
67,0.5203,0.42045,1.0,1.0,0.29231,0.28934,0.64274,0.63717,0.62393,0.6247,0.0849,0.08608,0.54587,0.54277,0.39088,0.38164,0.4301,0.42695,0.4301,0.5777
68,0.4559,0.36598,1.0,1.0,0.33675,0.33249,0.38348,0.38529,0.39088,0.38164,0.28091,0.27411,0.48376,0.48083,0.36752,0.36077,0.37388,0.36919,0.37388,0.49459
69,0.34011,0.42239,1.0,1.0,0.54986,0.55076,0.31567,0.31765,0.55954,0.55932,0.33675,0.33249,0.40684,0.40708,0.35499,0.34783,0.42061,0.41919,0.42061,0.32029
70,0.33917,0.37981,1.0,1.0,0.65698,0.65482,0.29231,0.29204,0.35499,0.34783,0.3567,0.36041,0.19886,0.19706,0.38689,0.38795,0.37445,0.37335,0.37445,0.34612
71,0.27082,0.29895,1.0,1.0,0.16296,0.16794,0.08775,0.08798,0.13276,0.13043,0.65698,0.65482,0.28034,0.28235,0.4416,0.4372,0.29373,0.29345,0.29373,0.3579
72,0.30692,0.39265,1.0,1.0,0.5453,0.55725,0.08319,0.08529,0.4416,0.4372,0.25812,0.25954,0.50427,0.50733,0.48205,0.477,0.38575,0.38727,0.38575,0.27356
73,0.44086,0.46352,1.0,1.0,0.34074,0.3401,0.18462,0.18768,0.46952,0.47101,0.5453,0.55725,0.52991,0.53079,0.65698,0.66102,0.45451,0.45798,0.45451,0.3768
74,0.50821,0.48033,1.0,1.0,0.60285,0.60914,0.65983,0.65882,0.65698,0.66102,0.40285,0.40458,0.32479,0.32551,0.22678,0.23002,0.47901,0.48152,0.47901,0.65511
75,0.48318,0.60786,1.0,1.0,0.54701,0.54822,0.42507,0.41935,0.89858,0.8988,0.60285,0.60914,0.56296,0.56176,0.5641,0.56522,0.60009,0.60042,0.60009,0.41774
76,0.4856,0.56638,1.0,1.0,0.73105,0.72774,0.46895,0.47353,0.5641,0.56522,0.48718,0.48855,0.44558,0.44575,0.66211,0.66265,0.55983,0.56057,0.55983,0.48594
77,0.40443,0.47205,1.0,1.0,0.48775,0.48601,0.57037,0.57771,0.3037,0.29227,0.73105,0.72774,0.33333,0.33138,0.41595,0.42029,0.47369,0.47257,0.47369,0.34726
78,0.67351,0.61703,1.0,1.0,0.71282,0.71173,0.58632,0.58187,0.41595,0.42029,0.61994,0.6285,0.92536,0.92669,0.48604,0.48792,0.62441,0.62617,0.62441,0.68551
79,0.61092,0.72707,1.0,1.0,0.65071,0.65816,0.77892,0.78363,0.75442,0.75362,0.71282,0.71173,0.66439,0.66959,0.78746,0.78502,0.72479,0.72696,0.72479,0.59859
80,0.76686,0.80663,1.0,1.0,0.91339,0.91582,0.53732,0.53936,0.78746,0.78502,0.951,0.94388,0.88034,0.88889,0.74815,0.75181,0.80294,0.80413,0.80294,0.84109
81,0.7476,0.75153,1.0,1.0,0.75556,0.75959,0.69915,0.69971,0.67578,0.68116,0.91339,0.91582,0.41368,0.40643,0.98746,0.98792,0.74084,0.74177,0.74084,0.77137
82,0.85715,0.8254,1.0,1.0,0.79088,0.78827,0.82336,0.81633,0.98746,0.98792,0.88718,0.88747,0.71795,0.71137,0.73504,0.73494,0.82365,0.82105,0.82365,0.86398
83,0.79817,0.71921,1.0,1.0,0.70883,0.70918,0.75783,0.75731,0.84729,0.843,0.79088,0.78827,0.75726,0.76023,0.47521,0.4686,0.72289,0.7211,0.72289,0.81127
84,0.72787,0.70332,1.0,1.0,0.89801,0.8977,0.62279,0.62099,0.47521,0.4686,0.75897,0.75765,0.91453,0.91837,0.58917,0.59277,0.70978,0.70935,0.70978,0.6856
