ID_UNICO,area,w_px,valid_frac_interior,valid_frac_perimeter,w_px_seg0,w_px_seg1,w_px_seg2,w_px_seg3,w_px_seg4,w_px_seg5,w_len,w_len_seg0,w_len_seg1,w_len_seg2,w_len_seg3,w_len_seg4,w_len_seg5,w_px_segmean,w_len_segmean,w_ring
1,0.842,0.75608,1.0,1.0,0.91791,0.63497,0.95577,0.80645,0.84,0.37592,0.75413,0.9208,0.63248,0.95556,0.79658,0.83761,0.38177,0.75517,0.75413,0.83314
2,0.47968,0.53622,1.0,1.0,0.39356,0.30462,0.37592,0.77419,0.66462,0.68719,0.53305,0.38177,0.30997,0.38177,0.77322,0.66154,0.69003,0.53335,0.53305,0.46743
3,0.48533,0.4958,1.0,1.0,0.6791,0.11692,0.38084,0.39356,0.80923,0.58722,0.49031,0.67464,0.11396,0.3755,0.38177,0.80969,0.58632,0.49448,0.49031,0.47379
4,0.71358,0.81935,1.0,1.0,0.78856,0.81346,0.58722,0.90323,0.98462,0.87438,0.82308,0.78689,0.81026,0.58632,0.89972,0.98519,0.87009,0.82524,0.82308,0.71425
5,0.73474,0.71599,1.0,1.0,0.71393,0.84098,0.83538,0.78856,0.31385,0.74693,0.70722,0.71453,0.84501,0.83419,0.78689,0.31567,0.74701,0.7066,0.70722,0.79753
6,0.90928,0.89404,1.0,1.0,0.99254,0.80122,0.74693,0.96278,0.8681,0.9656,0.89031,0.99145,0.80057,0.74701,0.9641,0.87066,0.96809,0.88953,0.89031,0.84511
7,0.98807,0.9788,1.0,1.0,1.0,1.0,0.99263,0.99254,0.87117,1.0,0.97588,1.0,1.0,0.99145,0.99145,0.87236,1.0,0.97606,0.97588,0.99839
8,0.98963,0.9947,1.0,1.0,1.0,1.0,1.0,0.97015,1.0,1.0,0.99573,1.0,1.0,1.0,0.97436,1.0,1.0,0.99502,0.99573,0.99601
9,0.9974,0.98852,1.0,1.0,1.0,1.0,0.97789,1.0,0.94785,1.0,0.9868,1.0,1.0,0.97379,1.0,0.94701,1.0,0.98762,0.9868,1.0
10,0.99401,0.99471,1.0,1.0,1.0,1.0,1.0,1.0,0.9633,1.0,0.99383,1.0,1.0,1.0,1.0,0.96296,1.0,0.99388,0.99383,0.99468
11,0.9313,0.98942,1.0,1.0,1.0,1.0,0.97052,1.0,0.97859,0.98775,0.98936,1.0,1.0,0.97094,1.0,0.97778,0.98746,0.98948,0.98936,0.85556
12,0.96437,0.93519,1.0,1.0,0.66915,1.0,0.98775,0.98507,0.99083,1.0,0.93941,0.67066,1.0,0.98746,0.98803,0.99031,1.0,0.9388,0.93941,0.96192
13,0.96851,0.89907,1.0,1.0,0.9801,0.8628,0.99511,0.66915,0.90214,0.97549,0.89858,0.97835,0.86667,0.99658,0.67066,0.90484,0.97436,0.89747,0.89858,0.99079
